"counter","ping"
"0","8"
"1","8"
"2","8"
"3","8"
"4","8"
"5","7"
"6","21"
"7","11"
"8","8"
"9","8"
"10","10"
"11","9"
"12","8"
"13","8"
"14","11"
"15","8"
"16","8"
"17","8"
"18","7"
"19","9"
"20","9"
"21","8"
"22","9"
"23","7"
"24","10"
"25","8"
"26","8"
"27","9"
"28","9"
"29","8"
"30","7"
"31","8"
"32","8"
"33","10"
"34","9"
"35","7"
"36","10"
"37","7"
"38","8"
"39","10"
"40","7"
"41","10"
"42","8"
"43","8"
"44","8"
"45","8"
"46","7"
"47","9"
"48","8"
"49","8"
"50","8"
"51","8"
"52","7"
"53","10"
"54","7"
"55","7"
"56","7"
"57","7"
"58","10"
"59","8"
